"id" "danceability" "energy" "key" "loudness" "mode" "speechiness" "acousticness" "instrumentalness" "liveness" "valence" "tempo" "duration_ms" "time_signature" "uri" "analysis_url"
"22" "1oDDLqtGfH8cDD0Fe0Y5Rr" 0.275 0.426 5 -7.682 1 0.0362 0.116 0 0.263 0.143 86.38 177383 3 "spotify:track:1oDDLqtGfH8cDD0Fe0Y5Rr" "https://api.spotify.com/v1/audio-analysis/1oDDLqtGfH8cDD0Fe0Y5Rr"
"23" "1tnbAxEatILcIdC0gpGRIm" 0.782 0.726 10 -5.342 0 0.133 0.212 0 0.159 0.679 126.689 182507 5 "spotify:track:1tnbAxEatILcIdC0gpGRIm" "https://api.spotify.com/v1/audio-analysis/1tnbAxEatILcIdC0gpGRIm"
"24" "4QUjn6cprNKiyA8dMTOQ33" 0.75 0.755 5 -3.792 1 0.0284 0.013 1.03e-06 0.539 0.647 120.001 212959 4 "spotify:track:4QUjn6cprNKiyA8dMTOQ33" "https://api.spotify.com/v1/audio-analysis/4QUjn6cprNKiyA8dMTOQ33"
"25" "2amTO7efvoF7KmEAcnkknd" 0.597 0.63 7 -7.463 1 0.0568 0.059 0 0.0785 0.298 94.946 180250 4 "spotify:track:2amTO7efvoF7KmEAcnkknd" "https://api.spotify.com/v1/audio-analysis/2amTO7efvoF7KmEAcnkknd"
"26" "0G1GIn5gGoe5iLHvVC5FM0" 0.628 0.577 10 -8.387 0 0.482 0.319 1.65e-06 0.11 0.374 145.005 189322 4 "spotify:track:0G1GIn5gGoe5iLHvVC5FM0" "https://api.spotify.com/v1/audio-analysis/0G1GIn5gGoe5iLHvVC5FM0"
"27" "1TjW3jIJQ3DmvBGTRWAFJ1" 0.645 0.893 10 -5.245 0 0.0537 0.017 0.000126 0.321 0.773 124.923 158880 4 "spotify:track:1TjW3jIJQ3DmvBGTRWAFJ1" "https://api.spotify.com/v1/audio-analysis/1TjW3jIJQ3DmvBGTRWAFJ1"
"28" "5HzJSMUviUEhQjrUciOprv" 0.755 0.601 7 -5.38 1 0.0787 0.0347 0 0.293 0.812 100.012 153600 4 "spotify:track:5HzJSMUviUEhQjrUciOprv" "https://api.spotify.com/v1/audio-analysis/5HzJSMUviUEhQjrUciOprv"
"29" "3w3LyAknbXOnyppVCI1QeW" 0.679 0.764 4 -4.557 1 0.0551 0.133 2.44e-05 0.11 0.562 109.72 236341 4 "spotify:track:3w3LyAknbXOnyppVCI1QeW" "https://api.spotify.com/v1/audio-analysis/3w3LyAknbXOnyppVCI1QeW"
"30" "17JmCoTiI5p9XLLMpyCQha" 0.524 0.765 5 -5.054 1 0.0422 0.189 0 0.153 0.869 218.184 225467 4 "spotify:track:17JmCoTiI5p9XLLMpyCQha" "https://api.spotify.com/v1/audio-analysis/17JmCoTiI5p9XLLMpyCQha"
"31" "6uThor8zg7TzTFNDj5q0mO" 0.718 0.899 0 -4.029 0 0.29 0.0437 0 0.0702 0.882 112.041 184552 4 "spotify:track:6uThor8zg7TzTFNDj5q0mO" "https://api.spotify.com/v1/audio-analysis/6uThor8zg7TzTFNDj5q0mO"
"32" "6I8gVxB8KT0XyYKnVyarys" 0.589 0.751 6 -5.124 0 0.0975 0.014 3.09e-06 0.549 0.178 128.269 221250 4 "spotify:track:6I8gVxB8KT0XyYKnVyarys" "https://api.spotify.com/v1/audio-analysis/6I8gVxB8KT0XyYKnVyarys"
"33" "4o7zeDjEoPALOH9ZN483Oj" 0.659 0.803 4 -6.945 1 0.0368 0.0207 0.803 0.16 0.336 125.986 185681 4 "spotify:track:4o7zeDjEoPALOH9ZN483Oj" "https://api.spotify.com/v1/audio-analysis/4o7zeDjEoPALOH9ZN483Oj"
"34" "4hxQsbgMpcp4Y0YSfIVdtx" 0.567 0.503 0 -8.814 0 0.0598 0.539 0.000192 0.0681 0.159 120.855 229669 4 "spotify:track:4hxQsbgMpcp4Y0YSfIVdtx" "https://api.spotify.com/v1/audio-analysis/4hxQsbgMpcp4Y0YSfIVdtx"
"35" "4plZcRZD9zaDKJQsLK77aX" 0.759 0.621 7 -5.237 1 0.0399 0.496 2.49e-06 0.0811 0.265 110.102 178620 4 "spotify:track:4plZcRZD9zaDKJQsLK77aX" "https://api.spotify.com/v1/audio-analysis/4plZcRZD9zaDKJQsLK77aX"
"36" "5qmSe5KyErKYdWxbCy1JeM" 0.678 0.468 4 -6.825 1 0.0439 0.258 0.000349 0.107 0.184 119.986 200234 4 "spotify:track:5qmSe5KyErKYdWxbCy1JeM" "https://api.spotify.com/v1/audio-analysis/5qmSe5KyErKYdWxbCy1JeM"
"37" "6QovLtyKKKVGddw4qQhD0c" 0.673 0.867 7 -5.654 1 0.14 0.0251 0 0.265 0.873 109.938 194960 4 "spotify:track:6QovLtyKKKVGddw4qQhD0c" "https://api.spotify.com/v1/audio-analysis/6QovLtyKKKVGddw4qQhD0c"
